"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","4225.234625597501","5","4225.234625597501"
"1","10","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","284.1097311854682","5","284.1097311854682"
"1","15","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","3685.319739423886","5","284.1097311854682"
"1","20","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","1477.4166503377292","5","284.1097311854682"
"1","25","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","5330.998266571736","5","284.1097311854682"
"1","30","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","3778.3547108636753","5","284.1097311854682"
"1","35","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","1485.2650751811373","5","284.1097311854682"
"1","40","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","3241.4859240981214","5","284.1097311854682"
"1","45","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","2034.6021515944449","5","284.1097311854682"
"1","50","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","21.070192970143466","5","21.070192970143466"
"1","55","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","13.137474755734933","5","13.137474755734933"
"1","60","3","0.527","0.66","35","10","2","1","48","0.1","15","126","20","0.01","8","0.5","316.74654235422537","5","13.137474755734933"
"1","65","3","0.527","0.66","35","46","2","3","48","0.1","15","176","20","0.01","8","0.5","5222.16321405144","5","13.137474755734933"
"1","70","3","0.527","0.66","35","10","2","3","48","0.1","15","149","20","0.01","8","0.5","7209.795623050779","5","13.137474755734933"
"1","75","3","0.527","0.66","35","50","2","2","48","0.1","15","165","20","0.01","8","0.5","2555.9983743840116","5","13.137474755734933"
"1","80","3","0.527","0.66","35","20","2","2","48","0.1","15","21","20","0.01","8","0.5","-33.384310728801815","5","-33.384310728801815"
"1","85","3","0.527","0.66","35","30","2","1","48","0.1","15","119","20","0.01","8","0.5","478.5502597958034","5","-33.384310728801815"
"1","90","3","0.527","0.66","35","20","2","3","48","0.1","15","112","20","0.01","8","0.5","3215.136941300679","5","-33.384310728801815"
"1","95","3","0.527","0.66","35","48","2","1","48","0.1","15","4","20","0.01","8","0.5","-429.3755632929172","5","-429.3755632929172"
"1","100","3","0.527","0.66","35","18","2","2","48","0.1","15","135","20","0.01","8","0.5","1379.8108038401883","5","-429.3755632929172"
"1","105","3","0.527","0.66","35","46","2","2","48","0.1","15","188","20","0.01","8","0.5","3829.741018867212","5","-429.3755632929172"
"1","110","3","0.527","0.66","35","10","2","2","48","0.1","15","35","20","0.01","8","0.5","82.77272294775052","5","-429.3755632929172"
"1","115","3","0.527","0.66","35","14","2","1","48","0.1","15","137","20","0.01","8","0.5","68.38400156358678","5","-429.3755632929172"
"1","120","3","0.527","0.66","35","36","2","3","48","0.1","15","70","20","0.01","8","0.5","2587.2640804418834","5","-429.3755632929172"
"1","125","3","0.527","0.66","35","44","2","2","48","0.1","15","197","20","0.01","8","0.5","4323.36112642367","5","-429.3755632929172"
"1","130","3","0.527","0.66","35","30","2","3","48","0.1","15","148","20","0.01","8","0.5","5829.4204778574185","5","-429.3755632929172"
"1","135","3","0.527","0.66","35","50","2","1","48","0.1","15","88","20","0.01","8","0.5","549.9891310663068","5","-429.3755632929172"
"1","140","3","0.527","0.66","35","30","2","2","48","0.1","15","146","20","0.01","8","0.5","2813.239913029014","5","-429.3755632929172"
"1","145","3","0.527","0.66","35","46","2","1","48","0.1","15","72","20","0.01","8","0.5","385.76159661248505","5","-429.3755632929172"
"1","150","3","0.527","0.66","35","48","2","1","48","0.1","15","191","20","0.01","8","0.5","2191.2657499623065","5","-429.3755632929172"
"1","155","3","0.527","0.66","35","18","2","1","48","0.1","15","12","20","0.01","8","0.5","-303.56982450239383","5","-429.3755632929172"
"1","160","3","0.527","0.66","35","42","2","3","48","0.1","15","4","20","0.01","8","0.5","42.28634068827957","5","-429.3755632929172"
"1","165","3","0.527","0.66","35","26","2","1","48","0.1","15","30","20","0.01","8","0.5","-541.5345364124635","5","-541.5345364124635"
"1","170","3","0.527","0.66","35","40","2","2","48","0.1","15","141","20","0.01","8","0.5","3151.5840271404945","5","-541.5345364124635"
"1","175","3","0.527","0.66","35","38","2","2","48","0.1","15","124","20","0.01","8","0.5","2653.537489004927","5","-541.5345364124635"
"1","180","3","0.527","0.66","35","34","2","1","48","0.1","15","102","20","0.01","8","0.5","949.9293524063569","5","-541.5345364124635"
"1","185","3","0.527","0.66","35","44","2","1","48","0.1","15","66","20","0.01","8","0.5","475.89607457384835","5","-541.5345364124635"
"1","190","3","0.527","0.66","35","20","2","2","48","0.1","15","77","20","0.01","8","0.5","1435.0261883297385","5","-541.5345364124635"
"1","195","3","0.527","0.66","35","46","2","1","48","0.1","15","164","20","0.01","8","0.5","1263.455770224149","5","-541.5345364124635"
"1","200","3","0.527","0.66","35","18","2","2","48","0.1","15","186","20","0.01","8","0.5","3728.3260829678243","5","-541.5345364124635"
"1","205","3","0.527","0.66","35","22","2","2","48","0.1","15","83","20","0.01","8","0.5","2231.4851262532466","5","-541.5345364124635"
"1","210","3","0.527","0.66","35","20","2","3","48","0.1","15","7","20","0.01","8","0.5","-343.12858825086965","5","-541.5345364124635"
"1","215","3","0.527","0.66","35","18","2","3","48","0.1","15","97","20","0.01","8","0.5","1591.2006349140527","5","-541.5345364124635"
"1","220","3","0.527","0.66","35","12","2","3","48","0.1","15","117","20","0.01","8","0.5","4123.069916675665","5","-541.5345364124635"
"1","225","3","0.527","0.66","35","48","2","2","48","0.1","15","195","20","0.01","8","0.5","5327.599552847596","5","-541.5345364124635"
"1","230","3","0.527","0.66","35","42","2","2","48","0.1","15","150","20","0.01","8","0.5","2255.482446877143","5","-541.5345364124635"
"1","235","3","0.527","0.66","35","48","2","1","48","0.1","15","7","20","0.01","8","0.5","-334.5215242381313","5","-541.5345364124635"
"1","240","3","0.527","0.66","35","34","2","2","48","0.1","15","174","20","0.01","8","0.5","4009.358832585471","5","-541.5345364124635"
"1","245","3","0.527","0.66","35","26","2","3","48","0.1","15","57","20","0.01","8","0.5","2348.727713626198","5","-541.5345364124635"
"1","250","3","0.527","0.66","35","14","2","3","48","0.1","15","32","20","0.01","8","0.5","439.8674870496384","5","-541.5345364124635"
"1","255","3","0.527","0.66","35","46","2","1","48","0.1","15","4","20","0.01","8","0.5","-253.00952479696608","5","-541.5345364124635"
"1","260","3","0.527","0.66","35","48","2","1","48","0.1","15","26","20","0.01","8","0.5","-328.193932797322","5","-541.5345364124635"
"1","265","3","0.527","0.66","35","46","2","1","48","0.1","15","30","20","0.01","8","0.5","55.72788055214555","5","-541.5345364124635"
"1","270","3","0.527","0.66","35","26","2","1","48","0.1","15","164","20","0.01","8","0.5","1829.0604403523514","5","-541.5345364124635"
"1","275","3","0.527","0.66","35","48","2","1","48","0.1","15","30","20","0.01","8","0.5","-108.9356103134759","5","-541.5345364124635"
"1","280","3","0.527","0.66","35","26","2","1","48","0.1","15","7","20","0.01","8","0.5","-401.5512211150166","5","-541.5345364124635"
"1","285","3","0.527","0.66","35","18","2","2","48","0.1","15","7","20","0.01","8","0.5","-33.18798498916986","5","-541.5345364124635"
"1","290","3","0.527","0.66","35","20","2","3","48","0.1","15","135","20","0.01","8","0.5","4642.467107450625","5","-541.5345364124635"
"1","295","3","0.527","0.66","35","10","2","2","48","0.1","15","7","20","0.01","8","0.5","-328.24157767282105","5","-541.5345364124635"
"1","300","3","0.527","0.66","35","48","2","1","48","0.1","15","35","20","0.01","8","0.5","18.536295359693145","5","-541.5345364124635"
"1","305","3","0.527","0.66","35","20","2","3","48","0.1","15","30","20","0.01","8","0.5","799.0396847970281","5","-541.5345364124635"
"1","310","3","0.527","0.66","35","20","2","1","48","0.1","15","7","20","0.01","8","0.5","-427.6790333209061","5","-541.5345364124635"
"1","315","3","0.527","0.66","35","48","2","3","48","0.1","15","7","20","0.01","8","0.5","-210.3928817139591","5","-541.5345364124635"
"1","320","3","0.527","0.66","35","10","2","2","48","0.1","15","30","20","0.01","8","0.5","-752.3328732949515","5","-752.3328732949515"
"1","325","3","0.527","0.66","35","20","2","3","48","0.1","15","4","20","0.01","8","0.5","-415.71473183597135","5","-752.3328732949515"
"1","330","3","0.527","0.66","35","20","2","3","48","0.1","15","13","20","0.01","8","0.5","23.683306746772267","5","-752.3328732949515"
"1","335","3","0.527","0.66","35","26","2","1","48","0.1","15","4","20","0.01","8","0.5","-410.32324964116896","5","-752.3328732949515"
"1","340","3","0.527","0.66","35","20","2","3","48","0.1","15","0","20","0.01","8","0.5","-610.4822914500849","5","-752.3328732949515"
"1","345","3","0.527","0.66","35","24","2","1","48","0.1","15","30","20","0.01","8","0.5","-98.49390482651216","5","-752.3328732949515"
"1","350","3","0.527","0.66","35","10","2","1","48","0.1","15","30","20","0.01","8","0.5","-670.7238369465788","5","-752.3328732949515"
"1","355","3","0.527","0.66","35","26","2","2","48","0.1","15","30","20","0.01","8","0.5","314.3445879927748","5","-752.3328732949515"
"1","360","3","0.527","0.66","35","10","2","2","48","0.1","15","17","20","0.01","8","0.5","-13.907878238028138","5","-752.3328732949515"
"1","365","3","0.527","0.66","35","10","2","2","48","0.1","15","0","20","0.01","8","0.5","-678.855006236187","5","-752.3328732949515"
"1","370","3","0.527","0.66","35","10","2","2","48","0.1","15","25","20","0.01","8","0.5","-472.41925045469696","5","-752.3328732949515"
"1","375","3","0.527","0.66","35","12","2","2","48","0.1","15","30","20","0.01","8","0.5","48.537671941517104","5","-752.3328732949515"
"1","380","3","0.527","0.66","35","20","2","2","48","0.1","15","30","20","0.01","8","0.5","290.84033381384313","5","-752.3328732949515"
"1","385","3","0.527","0.66","35","10","2","3","48","0.1","15","0","20","0.01","8","0.5","-553.3683872708135","5","-752.3328732949515"
"1","390","3","0.527","0.66","35","10","2","2","48","0.1","15","56","20","0.01","8","0.5","-255.30554128309655","5","-752.3328732949515"
"1","395","3","0.527","0.66","35","10","2","2","48","0.1","15","38","20","0.01","8","0.5","196.73515930203595","5","-752.3328732949515"
"1","400","3","0.527","0.66","35","10","2","2","48","0.1","15","4","20","0.01","8","0.5","-468.74384539608184","5","-752.3328732949515"
"1","405","3","0.527","0.66","35","10","2","2","48","0.1","15","41","20","0.01","8","0.5","178.97783111421168","5","-752.3328732949515"
"1","410","3","0.527","0.66","35","10","2","2","48","0.1","15","34","20","0.01","8","0.5","325.44901990664175","5","-752.3328732949515"
"1","415","3","0.527","0.66","35","10","2","2","48","0.1","15","20","20","0.01","8","0.5","-175.52904995206836","5","-752.3328732949515"
"1","420","3","0.527","0.66","35","10","2","2","48","0.1","15","70","20","0.01","8","0.5","1205.9758080814079","5","-752.3328732949515"
"1","425","3","0.527","0.66","35","10","2","2","48","0.1","15","55","20","0.01","8","0.5","710.3163281960663","5","-752.3328732949515"
"1","430","3","0.527","0.66","35","10","2","2","48","0.1","15","46","20","0.01","8","0.5","642.3898376052991","5","-752.3328732949515"
"1","435","3","0.527","0.66","35","10","2","2","48","0.1","15","28","20","0.01","8","0.5","211.27440510273408","5","-752.3328732949515"
"1","440","3","0.527","0.66","35","12","2","2","48","0.1","15","19","20","0.01","8","0.5","-431.37852089301776","5","-752.3328732949515"
"1","445","3","0.527","0.66","35","10","2","2","48","0.1","15","12","20","0.01","8","0.5","-612.0789164705902","5","-752.3328732949515"
"1","450","3","0.527","0.66","35","10","2","2","48","0.1","15","66","20","0.01","8","0.5","80.21585486348006","5","-752.3328732949515"
"1","455","3","0.527","0.66","35","10","2","2","48","0.1","15","37","20","0.01","8","0.5","194.72383201087436","5","-752.3328732949515"
"1","460","3","0.527","0.66","35","10","2","2","48","0.1","15","32","20","0.01","8","0.5","189.17944695122623","5","-752.3328732949515"
"1","465","3","0.527","0.66","35","10","2","3","48","0.1","15","30","20","0.01","8","0.5","-231.16902452939968","5","-752.3328732949515"
"1","470","3","0.527","0.66","35","10","2","2","48","0.1","15","5","20","0.01","8","0.5","-519.7057090537675","5","-752.3328732949515"
"1","475","3","0.527","0.66","35","10","2","2","48","0.1","15","51","20","0.01","8","0.5","1111.738063495967","5","-752.3328732949515"
"1","480","3","0.527","0.66","35","10","2","2","48","0.1","15","64","20","0.01","8","0.5","2304.0576667814166","5","-752.3328732949515"
"1","485","3","0.527","0.66","35","10","2","2","48","0.1","15","47","20","0.01","8","0.5","654.423773174927","5","-752.3328732949515"
"1","490","3","0.527","0.66","35","10","2","2","48","0.1","15","52","20","0.01","8","0.5","1249.0208568892256","5","-752.3328732949515"
"1","495","3","0.527","0.66","35","10","2","2","48","0.1","15","83","20","0.01","8","0.5","547.7477351102017","5","-752.3328732949515"
"1","500","3","0.527","0.66","35","10","2","2","48","0.1","15","33","20","0.01","8","0.5","-47.37744778745109","5","-752.3328732949515"
